"Question","Answer","Category","Group","Percentage"
"AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).","Other (please specify)","Children","No Children",7
"AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).","Other (please specify)","Sexual Orientation","Straight",7
"AMONG THOSE WHO TRY TO PAY ON FIRST DATE: Which of the following are reasons why you try to pay on dates? (Select all that apply).","Other (please specify)","Sexual Orientation","Gay/Bisexual",NA
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","All Men",NA,59
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Age","18-34",54
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Age","35-64",64
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Age","65+",55
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Race","White",61
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Race","Non-White",57
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Children","Has Children",61
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Children","No Children",58
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Sexual Orientation","Straight",60
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Every situation is different","Sexual Orientation","Gay/Bisexual",63
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","All Men",NA,46
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Age","18-34",46
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Age","35-64",48
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Age","65+",38
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Race","White",46
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Race","Non-White",45
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Children","Has Children",46
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Children","No Children",45
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Sexual Orientation","Straight",46
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Read their physical body language to see if they are interested","Sexual Orientation","Gay/Bisexual",51
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","All Men",NA,35
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Age","18-34",37
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Age","35-64",35
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Age","65+",32
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Race","White",36
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Race","Non-White",32
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Children","Has Children",32
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Children","No Children",39
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Sexual Orientation","Straight",34
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","It isn?t always clear how to gauge someone?s interest","Sexual Orientation","Gay/Bisexual",40
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","All Men",NA,31
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Age","18-34",43
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Age","35-64",30
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Age","65+",15
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Race","White",29
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Race","Non-White",36
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Children","Has Children",26
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Children","No Children",37
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Sexual Orientation","Straight",31
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Ask for a verbal confirmation of consent","Sexual Orientation","Gay/Bisexual",31
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","All Men",NA,29
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Age","18-34",34
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Age","35-64",27
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Age","65+",29
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Race","White",27
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Race","Non-White",34
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Children","Has Children",29
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Children","No Children",30
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Sexual Orientation","Straight",31
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Make a physical move to see how they react","Sexual Orientation","Gay/Bisexual",27
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","All Men",NA,7
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Age","18-34",6
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Age","35-64",7
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Age","65+",11
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Race","White",8
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Race","Non-White",5
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Children","Has Children",8
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Children","No Children",7
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Sexual Orientation","Straight",8
"When you want to be physically intimate with someone, how do you gauge their interest? (Select all that apply.)","Other (please specify)","Sexual Orientation","Gay/Bisexual",8
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","All Men",NA,10
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Age","18-34",15
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Age","35-64",9
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Age","65+",5
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Race","White",8
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Race","Non-White",13
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Children","Has Children",8
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Children","No Children",12
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Sexual Orientation","Straight",9
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Wondered whether you pushed a partner too far in a past sexual encounter.","Sexual Orientation","Gay/Bisexual",17
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","All Men",NA,5
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Age","18-34",9
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Age","35-64",3
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Age","65+",2
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Race","White",2
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Race","Non-White",9
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Children","Has Children",5
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Children","No Children",4
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Sexual Orientation","Straight",4
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Talked with a friend or friends about whether you pushed a partner too far.","Sexual Orientation","Gay/Bisexual",4
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","All Men",NA,3
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Age","18-34",7
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Age","35-64",2
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Age","65+",0
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Race","White",1
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Race","Non-White",7
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Children","Has Children",3
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Children","No Children",3
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Sexual Orientation","Straight",3
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","Contacted a past sexual partner to ask whether you went too far in any of you sexual encounters.","Sexual Orientation","Gay/Bisexual",7
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","All Men",NA,85
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Age","18-34",76
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Age","35-64",87
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Age","65+",91
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Race","White",89
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Race","Non-White",77
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Children","Has Children",86
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Children","No Children",83
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Sexual Orientation","Straight",87
"Over the past 12 months, when it comes to sexual boundaries, which of the following things have you done? (Select all that apply.)","None of the above","Sexual Orientation","Gay/Bisexual",79
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","All Men",NA,13
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Age","18-34",23
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Age","35-64",9
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Age","65+",7
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Race","White",9
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Race","Non-White",20
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Children","Has Children",9
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Children","No Children",16
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Sexual Orientation","Straight",12
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","Yes","Sexual Orientation","Gay/Bisexual",18
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","All Men",NA,86
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Age","18-34",77
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Age","35-64",90
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Age","65+",91
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Race","White",90
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Race","Non-White",79
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Children","Has Children",89
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Children","No Children",83
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Sexual Orientation","Straight",87
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No","Sexual Orientation","Gay/Bisexual",82
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","All Men",NA,1
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Age","18-34",0
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Age","35-64",1
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Age","65+",2
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Race","White",1
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Race","Non-White",1
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Children","Has Children",1
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Children","No Children",1
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Sexual Orientation","Straight",1
"Have you changed your behavior in romantic relationships in the wake of #MeToo movement?","No answer","Sexual Orientation","Gay/Bisexual",0
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","All Men",NA,46
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Age","18-34",15
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Age","35-64",55
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Age","65+",67
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Race","White",50
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Race","Non-White",37
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Children","Has Children",66
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Children","No Children",22
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Sexual Orientation","Straight",51
"Are you now married, widowed, divorced, separated, or have you never been married?","Married","Sexual Orientation","Gay/Bisexual",16
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","All Men",NA,3
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Age","18-34",0
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Age","35-64",2
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Age","65+",13
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Race","White",4
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Race","Non-White",2
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Children","Has Children",4
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Children","No Children",2
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Sexual Orientation","Straight",3
"Are you now married, widowed, divorced, separated, or have you never been married?","Widowed","Sexual Orientation","Gay/Bisexual",4
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","All Men",NA,13
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Age","18-34",7
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Age","35-64",17
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Age","65+",9
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Race","White",13
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Race","Non-White",13
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Children","Has Children",19
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Children","No Children",6
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Sexual Orientation","Straight",13
"Are you now married, widowed, divorced, separated, or have you never been married?","Divorced","Sexual Orientation","Gay/Bisexual",8
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","All Men",NA,2
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Age","18-34",0
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Age","35-64",2
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Age","65+",3
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Race","White",2
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Race","Non-White",2
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Children","Has Children",3
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Children","No Children",1
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Sexual Orientation","Straight",2
"Are you now married, widowed, divorced, separated, or have you never been married?","Separated","Sexual Orientation","Gay/Bisexual",0
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","All Men",NA,36
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Age","18-34",77
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Age","35-64",23
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Age","65+",9
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Race","White",31
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Race","Non-White",46
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Children","Has Children",7
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Children","No Children",69
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Sexual Orientation","Straight",30
"Are you now married, widowed, divorced, separated, or have you never been married?","Never married","Sexual Orientation","Gay/Bisexual",72
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","All Men",NA,0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Age","18-34",0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Age","35-64",0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Age","65+",0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Race","White",0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Race","Non-White",0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Children","Has Children",0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Children","No Children",0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Sexual Orientation","Straight",0
"Are you now married, widowed, divorced, separated, or have you never been married?","No answer","Sexual Orientation","Gay/Bisexual",0
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","All Men",NA,21
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Age","18-34",21
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Age","35-64",28
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Age","65+",5
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Race","White",17
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Race","Non-White",31
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Children","Has Children",40
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Children","No Children",0
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Sexual Orientation","Straight",24
"Do you have any children? (Select all that apply.)","Yes, one or more children under 18","Sexual Orientation","Gay/Bisexual",8
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","All Men",NA,37
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Age","18-34",6
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Age","35-64",42
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Age","65+",70
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Race","White",41
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Race","Non-White",28
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Children","Has Children",69
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Children","No Children",0
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Sexual Orientation","Straight",41
"Do you have any children? (Select all that apply.)","Yes, one or more children 18 or older","Sexual Orientation","Gay/Bisexual",7
"Do you have any children? (Select all that apply.)","No children","All Men",NA,46
"Do you have any children? (Select all that apply.)","No children","Age","18-34",74
"Do you have any children? (Select all that apply.)","No children","Age","35-64",38
"Do you have any children? (Select all that apply.)","No children","Age","65+",27
"Do you have any children? (Select all that apply.)","No children","Race","White",46
"Do you have any children? (Select all that apply.)","No children","Race","Non-White",47
"Do you have any children? (Select all that apply.)","No children","Children","Has Children",0
"Do you have any children? (Select all that apply.)","No children","Children","No Children",100
"Do you have any children? (Select all that apply.)","No children","Sexual Orientation","Straight",40
"Do you have any children? (Select all that apply.)","No children","Sexual Orientation","Gay/Bisexual",86
"Would you describe your sexual orientation as:","Straight","All Men",NA,84
"Would you describe your sexual orientation as:","Straight","Age","18-34",73
"Would you describe your sexual orientation as:","Straight","Age","35-64",88
"Would you describe your sexual orientation as:","Straight","Age","65+",93
"Would you describe your sexual orientation as:","Straight","Race","White",85
"Would you describe your sexual orientation as:","Straight","Race","Non-White",82
"Would you describe your sexual orientation as:","Straight","Children","Has Children",95
"Would you describe your sexual orientation as:","Straight","Children","No Children",72
"Would you describe your sexual orientation as:","Straight","Sexual Orientation","Straight",100
"Would you describe your sexual orientation as:","Straight","Sexual Orientation","Gay/Bisexual",0
"Would you describe your sexual orientation as:","Gay","All Men",NA,8
"Would you describe your sexual orientation as:","Gay","Age","18-34",12
"Would you describe your sexual orientation as:","Gay","Age","35-64",7
"Would you describe your sexual orientation as:","Gay","Age","65+",3
"Would you describe your sexual orientation as:","Gay","Race","White",7
"Would you describe your sexual orientation as:","Gay","Race","Non-White",9
"Would you describe your sexual orientation as:","Gay","Children","Has Children",2
"Would you describe your sexual orientation as:","Gay","Children","No Children",15
"Would you describe your sexual orientation as:","Gay","Sexual Orientation","Straight",0
"Would you describe your sexual orientation as:","Gay","Sexual Orientation","Gay/Bisexual",72
"Would you describe your sexual orientation as:","Bisexual","All Men",NA,3
"Would you describe your sexual orientation as:","Bisexual","Age","18-34",6
"Would you describe your sexual orientation as:","Bisexual","Age","35-64",2
"Would you describe your sexual orientation as:","Bisexual","Age","65+",1
"Would you describe your sexual orientation as:","Bisexual","Race","White",3
"Would you describe your sexual orientation as:","Bisexual","Race","Non-White",3
"Would you describe your sexual orientation as:","Bisexual","Children","Has Children",1
"Would you describe your sexual orientation as:","Bisexual","Children","No Children",5
"Would you describe your sexual orientation as:","Bisexual","Sexual Orientation","Straight",0
"Would you describe your sexual orientation as:","Bisexual","Sexual Orientation","Gay/Bisexual",28
"Would you describe your sexual orientation as:","Other","All Men",NA,3
"Would you describe your sexual orientation as:","Other","Age","18-34",5
"Would you describe your sexual orientation as:","Other","Age","35-64",3
"Would you describe your sexual orientation as:","Other","Age","65+",1
"Would you describe your sexual orientation as:","Other","Race","White",3
"Would you describe your sexual orientation as:","Other","Race","Non-White",3
"Would you describe your sexual orientation as:","Other","Children","Has Children",1
"Would you describe your sexual orientation as:","Other","Children","No Children",6
"Would you describe your sexual orientation as:","Other","Sexual Orientation","Straight",0
"Would you describe your sexual orientation as:","Other","Sexual Orientation","Gay/Bisexual",0
"Would you describe your sexual orientation as:","No answer","All Men",NA,2
"Would you describe your sexual orientation as:","No answer","Age","18-34",4
"Would you describe your sexual orientation as:","No answer","Age","35-64",1
"Would you describe your sexual orientation as:","No answer","Age","65+",1
"Would you describe your sexual orientation as:","No answer","Race","White",1
"Would you describe your sexual orientation as:","No answer","Race","Non-White",2
"Would you describe your sexual orientation as:","No answer","Children","Has Children",1
"Would you describe your sexual orientation as:","No answer","Children","No Children",2
"Would you describe your sexual orientation as:","No answer","Sexual Orientation","Straight",0
"Would you describe your sexual orientation as:","No answer","Sexual Orientation","Gay/Bisexual",0
"Are you:","White","All Men",NA,67
"Are you:","White","Age","18-34",52
"Are you:","White","Age","35-64",67
"Are you:","White","Age","65+",89
"Are you:","White","Race","White",100
"Are you:","White","Race","Non-White",0
"Are you:","White","Children","Has Children",68
"Are you:","White","Children","No Children",66
"Are you:","White","Sexual Orientation","Straight",68
"Are you:","White","Sexual Orientation","Gay/Bisexual",62
"Are you:","Black","All Men",NA,11
"Are you:","Black","Age","18-34",19
"Are you:","Black","Age","35-64",9
"Are you:","Black","Age","65+",2
"Are you:","Black","Race","White",0
"Are you:","Black","Race","Non-White",33
"Are you:","Black","Children","Has Children",10
"Are you:","Black","Children","No Children",11
"Are you:","Black","Sexual Orientation","Straight",11
"Are you:","Black","Sexual Orientation","Gay/Bisexual",10
"Are you:","Hispanic","All Men",NA,14
"Are you:","Hispanic","Age","18-34",16
"Are you:","Hispanic","Age","35-64",17
"Are you:","Hispanic","Age","65+",5
"Are you:","Hispanic","Race","White",0
"Are you:","Hispanic","Race","Non-White",43
"Are you:","Hispanic","Children","Has Children",14
"Are you:","Hispanic","Children","No Children",15
"Are you:","Hispanic","Sexual Orientation","Straight",14
"Are you:","Hispanic","Sexual Orientation","Gay/Bisexual",18
"Are you:","Asian","All Men",NA,3
"Are you:","Asian","Age","18-34",6
"Are you:","Asian","Age","35-64",2
"Are you:","Asian","Age","65+",0
"Are you:","Asian","Race","White",0
"Are you:","Asian","Race","Non-White",9
